,Athlete,Athlete_URL,Division,G_01_Place,G_01_Points,G_01_Score,G_02_Place,G_02_Points,G_02_Score,G_03_Place,G_03_Points,G_03_Score,G_04_Place,G_04_Points,G_04_Score,G_05_Place,G_05_Points,G_05_Score,G_06_Place,G_06_Points,G_06_Score,G_07_Place,G_07_Points,G_07_Score,G_08_Place,G_08_Points,G_08_Score,G_09_Place,G_09_Points,G_09_Score,G_10_Place,G_10_Points,G_10_Score,G_11_Place,G_11_Points,G_11_Score,G_12_Place,G_12_Points,G_12_Score,G_13_Place,G_13_Points,G_13_Score,G_14_Place,G_14_Points,G_14_Score,G_15_Place,G_15_Points,G_15_Score,Games_Place,Year
22,Tyson Takasaki,http://games.crossfit.com/athlete/53824,1,44,13.0,18:55.7,25,37.0,06:49.7,21,45.0,1:23:14.6,13,61.0,31:46.0,33,24.0,33 pt,25,37.0,08:11.3,5,80.0,17:52.8,7,73.0,335.10 lb,23,41.0,10:37.4,5,80.0,02:41.1,18,51.0,06:30.1,28,31.0,07:07.0,,,,,,,,,,23 (573),2013
23,Jordan Troyan,http://games.crossfit.com/athlete/4895,1,1,100.0,10:06.0,30,27.0,06:50.9,26,35.0,1:23:40.3,12,63.0,31:11.9,13,61.0,13 pt,7,73.0,06:37.5,16,55.0,19:16.7,43,14.0,275.20 lb,32,25.0,11:00.6,38,19.0,03:45.1,30,27.0,07:28.0,7,73.0,07:02.0,,,,,,,,,,24 (572),2013
24,Lacee Kovacs,http://games.crossfit.com/athlete/32052,1,38,19.0,15:51.0,27,33.0,06:50.2,13,61.0,1:20:56.8,10,67.0,31:09.9,39,18.0,39 pt,5,80.0,06:31.0,22,43.0,19:36.1,34,23.0,305.20 lb,2,95.0,09:10.4,23,41.0,03:17.4,15,57.0,06:04.8,30,27.0,07:13.0,,,,,,,,,,25 (564),2013
25,Simon Paquette,http://games.crossfit.com/athlete/19941,1,29,29.0,13:59.4,3,90.0,06:35.9,12,63.0,1:20:56.4,4,85.0,30:03.9,37,20.0,37 pt,24,39.0,08:05.7,29,29.0,20:02.0,36,21.0,305.10 lb,16,55.0,10:20.5,35,22.0,03:42.7,26,35.0,07:08.0,7,73.0,07:02.0,,,,,,,,,,26 (561),2013
26,Aja Barto,http://games.crossfit.com/athlete/145925,1,43,14.0,16:46.6,37,20.0,06:59.0,33,24.0,1:24:47.4,29,29.0,34:36.6,3,90.0,3 pt,15,57.0,07:29.5,31,26.0,20:05.0,1,100.0,355.1 lb,44,13.0,13:27.7,13,61.0,03:00.3,21,45.0,07:02.0,7,73.0,07:02.0,,,,,,,,,,27 (552),2013
27,Kenneth Leverich,http://games.crossfit.com/athlete/21343,1,5,80.0,11:13.1,40,17.0,07:00.5,35,22.0,1:25:05.1,18,51.0,32:27.6,29,29.0,29 pt,3,90.0,06:17.6,40,17.0,20:27.0,26,35.0,315.10 lb,34,23.0,11:10.9,11,65.0,02:59.9,21,45.0,07:02.0,7,73.0,07:02.0,,,,,,,,,,28 (547),2013
28,Matt Hathcock,http://games.crossfit.com/athlete/4406,1,17,53.0,12:47.9,16,55.0,06:42.9,37,20.0,1:25:35.0,25,37.0,33:21.6,37,20.0,37 pt,41,16.0,10:13.0,8,71.0,18:32.1,5,80.0,335.20 lb,26,35.0,10:48.1,20,47.0,03:12.3,27,33.0,07:13.0,7,73.0,07:02.0,,,,,,,,,,29 (540),2013
29,Mikko Aronpää,http://games.crossfit.com/athlete/10822,1,16,55.0,12:31.1,14,59.0,06:42.6,27,33.0,1:24:01.2,19,49.0,32:32.1,33,24.0,33 pt,44,13.0,10:30.0,21,45.0,19:33.6,26,35.0,315.10 lb,15,57.0,10:16.2,12,63.0,03:00.1,28,31.0,07:14.0,28,31.0,07:07.0,,,,,,,,,,30 (495),2013
30,Bryan Miller,http://games.crossfit.com/athlete/5111,1,9,69.0,11:31.4,21,45.0,06:46.2,28,31.0,1:24:03.0,24,39.0,33:13.4,45,12.0,45 pt,9,69.0,06:50.8,37,20.0,20:12.0,26,35.0,315.10 lb,6,75.0,09:17.2,36,21.0,03:42.8,CUT,,,CUT,,,,,,,,,,,,31 (416),2013
31,David Levey,http://games.crossfit.com/athlete/8743,1,14,59.0,12:15.8,12,63.0,06:42.2,4,85.0,1:19:41.5,41,16.0,37:27.5,7,73.0,7 pt,31,26.0,09:00.5,40,17.0,20:27.0,41,16.0,285.20 lb,37,20.0,11:52.6,44,13.0,04:21.3,CUT,,,CUT,,,,,,,,,,,,32 (388),2013
32,Rob Forte,http://games.crossfit.com/athlete/7285,1,19,49.0,13:00.5,39,18.0,06:59.6,8,71.0,1:20:16.7,6,75.0,30:48.7,42,15.0,42 pt,34,23.0,10:02.0,19,49.0,19:31.1,38,19.0,295.10 lb,25,37.0,10:46.7,31,26.0,03:37.2,CUT,,,CUT,,,,,,,,,,,,33 (382),2013
33,Daniel Tyminski,http://games.crossfit.com/athlete/5284,1,24,39.0,13:15.4,19,49.0,06:44.0,38,19.0,1:25:35.6,33,24.0,36:04.7,27,33.0,27 pt,39,18.0,10:12.0,27,33.0,19:56.4,26,35.0,315.10 lb,3,90.0,09:12.5,24,39.0,03:20.8,CUT,,,CUT,,,,,,,,,,,,34 (379),2013
34,Wes Piatt,http://games.crossfit.com/athlete/5186,1,6,75.0,11:13.4,44,13.0,07:08.8,31,26.0,1:24:41.2,14,59.0,31:47.9,9,69.0,9 pt,34,23.0,10:02.0,25,37.0,19:55.0,24,39.0,315.20 lb,42,15.0,12:29.4,37,20.0,03:44.4,CUT,,,CUT,,,,,,,,,,,,35 (376),2013
35,Alex Nettey,http://games.crossfit.com/athlete/25957,1,46,11.0,20:29.4,13,61.0,06:42.5,18,51.0,1:22:32.0,31,26.0,34:53.4,29,29.0,29 pt,33,24.0,09:50.0,13,61.0,18:58.4,41,16.0,285.20 lb,14,59.0,10:12.7,34,23.0,03:42.1,CUT,,,CUT,,,,,,,,,,,,36 (361),2013
36,Marcus Filly,http://games.crossfit.com/athlete/13913,1,23,41.0,13:14.7,18,51.0,06:43.1,20,47.0,1:23:04.3,38,19.0,36:56.3,15,57.0,15 pt,34,23.0,10:02.0,26,35.0,19:56.0,26,35.0,315.10 lb,29,29.0,10:54.2,33,24.0,03:39.3,CUT,,,CUT,,,,,,,,,,,,37 (361),2013
37,Gary Helmick,http://games.crossfit.com/athlete/44402,1,40,17.0,16:23.8,34,23.0,06:55.8,29,29.0,1:24:18.6,35,22.0,36:23.7,12,63.0,12 pt,2,95.0,06:08.1,33,24.0,20:07.0,38,19.0,295.10 lb,38,19.0,11:53.9,42,15.0,04:03.7,CUT,,,CUT,,,,,,,,,,,,38 (326),2013
38,Eric Magee,http://games.crossfit.com/athlete/10917,1,41,16.0,16:24.0,22,43.0,06:46.4,25,37.0,1:23:37.7,32,25.0,35:17.9,24,39.0,24 pt,30,27.0,08:53.5,38,19.0,20:26.0,13,61.0,325.20 lb,40,17.0,12:02.6,32,25.0,03:37.5,CUT,,,CUT,,,,,,,,,,,,39 (309),2013
39,Mike McGoldrick,http://games.crossfit.com/athlete/30018,1,33,24.0,14:45.0,16,55.0,06:42.9,32,25.0,1:24:41.3,36,21.0,36:29.5,33,24.0,33 pt,39,18.0,10:12.0,38,19.0,20:26.0,13,61.0,325.20 lb,41,16.0,12:24.0,27,33.0,03:26.7,CUT,,,CUT,,,,,,,,,,,,40 (296),2013
40,Austin Malleolo,http://games.crossfit.com/athlete/10169,1,27,33.0,13:42.4,35,22.0,06:58.1,41,16.0,1:26:18.6,40,17.0,37:26.9,27,33.0,27 pt,34,23.0,10:02.0,19,49.0,19:31.1,26,35.0,315.10 lb,30,27.0,10:55.9,39,18.0,03:45.9,CUT,,,CUT,,,,,,,,,,,,41 (273),2013
41,Zachary Forrest,http://games.crossfit.com/athlete/10593,1,21,45.0,13:05.9,45,12.0,07:10.3,44,13.0,1:31:14.4,44,13.0,40:04.0,29,29.0,29 pt,32,25.0,09:46.5,35,22.0,20:11.0,38,19.0,295.10 lb,17,53.0,10:26.6,40,17.0,03:47.7,CUT,,,CUT,,,,,,,,,,,,42 (248),2013
42,Orlando Trejo,http://games.crossfit.com/athlete/42803,1,45,12.0,20:20.6,46,11.0,07:35.6,39,18.0,1:25:42.0,46,11.0,40:06.0,46,11.0,46 pt,43,14.0,10:29.0,9,69.0,18:33.5,34,23.0,305.20 lb,35,22.0,11:16.2,29,29.0,03:28.0,CUT,,,CUT,,,,,,,,,,,,43 (220),2013
43,Ryan Swobody,http://games.crossfit.com/athlete/8797,1,39,18.0,16:15.8,43,14.0,07:08.1,42,15.0,1:26:57.4,37,20.0,36:51.4,39,18.0,39 pt,41,16.0,10:13.0,34,23.0,20:09.0,44,13.0,275.10 lb,28,31.0,10:54.1,43,14.0,04:19.1,CUT,,,CUT,,,,,,,,,,,,44 (182),2013
44,Brandon Swan,http://games.crossfit.com/athlete/7314,1,8,71.0,11:25.9,29,29.0,06:50.7,34,23.0,1:25:03.3,43,14.0,39:03.6,22,43.0,22 pt,45,12.0,10:31.0,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,,,,,,,,,,45 (192),2013
45,Michael Mogard,http://games.crossfit.com/athlete/21658,1,35,22.0,15:06.3,41,16.0,07:01.3,40,17.0,1:26:01.2,44,13.0,40:04.0,5,80.0,5 pt,46,11.0,10:55.0,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,,,,,,,,,,46 (159),2013
46,Mikko Salo,http://games.crossfit.com/athlete/151906,1,--,,,--,,,--,,,--,,,--,,,--,,,--,,,--,,,--,,,--,,,--,,,--,,,,,,,,,,,,---,2013
0,Rich Froning,http://games.crossfit.com/athlete/11435,1,8,71.0,35:10.11,1,100.0,377 lb,37,20.0,38:31.38,15,32.0,00:58.02,27,20.0,02:09.07,1,100.0,04:16.63,13,61.0,13:07.44,15,57.0,02:48.89,9,69.0,9 pt,2,95.0,04:48.34,1,100.0,05:25.0,1,100.0,01:40.3,1,100.0,05:05.6,,,,,,,1 (925),2014
1,Mathew Fraser,http://games.crossfit.com/athlete/153604,1,17,53.0,36:31.85,1,100.0,377 lb,19,49.0,35:34.86,17,30.0,00:58.16,23,24.0,01:57.08,13,61.0,04:59.19,8,71.0,12:25.80,10,67.0,02:44.67,3,90.0,3 pt,6,75.0,05:17.38,2,95.0,06:00.5,2,95.0,01:59.0,11,65.0,05:56.6,,,,,,,2 (875),2014
2,Jason Khalipa,http://games.crossfit.com/athlete/12485,1,18,51.0,36:34.43,5,80.0,367 lb,16,55.0,35:14.73,2,48.0,00:38.44,3,46.0,01:10.76,3,90.0,04:29.29,37,20.0,17:02.32,13,61.0,02:48.00,4,85.0,4 pt,22,43.0,06:04.57,4,85.0,06:06.4,4,85.0,02:15.5,2,95.0,05:08.8,,,,,,,3 (844),2014
3,Josh Bridges,http://games.crossfit.com/athlete/124483,1,3,90.0,31:56.10,27,33.0,318 lb,5,80.0,34:11.72,21,26.0,01:02.57,19,28.0,01:47.16,2,95.0,04:26.03,10,67.0,12:28.88,19,49.0,02:50.07,21,45.0,21 pt,1,100.0,04:46.43,7,73.0,06:32.9,14,59.0,03:59.0,23,41.0,06:51.5,,,,,,,4 (786),2014
4,Scott Panchik,http://games.crossfit.com/athlete/34796,1,10,67.0,35:30.16,8,71.0,360 lb,18,51.0,35:26.59,20,27.0,01:00.61,13,34.0,01:39.55,4,85.0,04:36.33,7,73.0,12:18.52,16,55.0,02:48.94,7,73.0,7 pt,29,29.0,06:30.56,6,75.0,06:23.5,8,71.0,02:41.6,8,71.0,05:44.6,,,,,,,5 (782),2014
5,Tommy Hackenbruck,http://games.crossfit.com/athlete/8746,1,26,35.0,40:00.20,3,90.0,376 lb,13,61.0,35:03.64,3,46.0,00:39.54,2,48.0,01:10.32,12,63.0,04:58.10,21,45.0,14:46.74,2,95.0,02:33.83,13,61.0,13 pt,21,45.0,06:01.76,3,90.0,06:05.3,26,35.0,CAP+4,10,67.0,05:52.5,,,,,,,6 (781),2014
6,Ben Smith,http://games.crossfit.com/athlete/43761,1,11,65.0,35:32.02,9,69.0,357 lb,20,47.0,35:44.84,31,16.0,01:11.39,25,22.0,02:02.00,28,31.0,05:30.13,2,95.0,11:15.24,5,80.0,02:40.17,5,80.0,5 pt,24,39.0,06:14.86,11,65.0,07:13.6,3,90.0,02:03.4,7,73.0,05:36.1,,,,,,,7 (772),2014
7,Noah Ohlsen,http://games.crossfit.com/athlete/2725,1,5,80.0,32:28.94,14,59.0,337 lb,6,75.0,34:16.76,7,40.0,00:49.31,14,33.0,01:40.25,9,69.0,04:51.78,5,80.0,11:52.26,11,65.0,02:45.13,23,41.0,23 pt,16,55.0,05:40.54,5,80.0,06:10.5,17,53.0,CAP+1,28,31.0,CAP+8,,,,,,,8 (761),2014
8,Ben Stoneberg,http://games.crossfit.com/athlete/30740,1,23,41.0,39:12.10,16,55.0,335 lb,3,90.0,33:56.65,11,36.0,00:53.02,22,25.0,01:54.00,18,51.0,05:08.93,11,65.0,12:45.28,22,43.0,02:51.96,17,53.0,17 pt,3,90.0,05:03.51,26,35.0,08:08.8,6,75.0,02:29.3,15,57.0,06:25.3,,,,,,,9 (716),2014
9,Dan Bailey,http://games.crossfit.com/athlete/47661,1,9,69.0,35:26.63,22,43.0,327 lb,30,27.0,36:33.87,12,35.0,00:53.40,15,32.0,01:43.38,8,71.0,04:48.90,16,55.0,13:36.04,35,22.0,03:02.49,14,59.0,14 pt,8,71.0,05:21.57,9,69.0,06:42.9,13,61.0,03:47.1,3,90.0,05:09.0,,,,,,,10 (704),2014
10,Craig Kenney,http://games.crossfit.com/athlete/126813,1,6,75.0,33:17.33,15,57.0,336 lb,10,67.0,34:47.20,4,44.0,00:40.49,21,26.0,01:53.68,21,45.0,05:15.16,33,24.0,16:30.38,14,59.0,02:48.14,31,26.0,31 pt,9,69.0,05:22.31,19,49.0,07:45.6,12,63.0,03:43.3,13,61.0,06:16.9,,,,,,,11 (665),2014
11,Rob Forte,http://games.crossfit.com/athlete/7285,1,34,23.0,43:33.68,31,26.0,316 lb,1,100.0,33:03.56,16,31.0,00:58.11,5,42.0,01:27.82,15,57.0,05:01.27,20,47.0,14:28.49,7,73.0,02:42.78,29,29.0,29 pt,35,22.0,07:26.90,15,57.0,07:35.2,10,67.0,02:59.4,6,75.0,05:27.8,,,,,,,12 (649),2014
12,Kyle Kasperbauer,http://games.crossfit.com/athlete/25569,1,24,39.0,39:25.02,11,65.0,350 lb,12,63.0,35:02.41,9,38.0,00:50.87,7,40.0,01:32.00,24,39.0,05:24.84,18,51.0,14:10.30,6,75.0,02:41.15,8,71.0,8 pt,20,47.0,05:58.34,29,29.0,08:43.5,19,49.0,CAP+2,27,33.0,CAP+7,,,,,,,13 (639),2014
13,Will Moorad,http://games.crossfit.com/athlete/35627,1,13,61.0,35:41.57,23,41.0,326 lb,8,71.0,34:28.43,39,8.0,01:30.16,34,13.0,02:28.07,29,29.0,05:35.68,4,85.0,11:45.34,3,90.0,02:35.88,39,18.0,39 pt,10,67.0,05:24.32,20,47.0,07:49.2,15,57.0,03:59.4,21,45.0,06:42.4,,,,,,,14 (632),2014
14,Neal Maddox,http://games.crossfit.com/athlete/24156,1,31,26.0,41:57.86,6,75.0,365 lb,35,22.0,38:20.32,1,50.0,00:30.33,1,50.0,01:09.89,20,47.0,05:14.90,30,27.0,15:55.95,38,19.0,03:08.97,1,100.0,1 pt,14,59.0,05:36.84,36,21.0,09:33.5,5,80.0,02:17.2,17,53.0,06:31.9,,,,,,,15 (629),2014
15,Richard Bohlken,http://games.crossfit.com/athlete/131845,1,42,15.0,CAP+51,40,17.0,290 lb,25,37.0,36:03.86,10,37.0,00:52.53,26,21.0,02:05.98,10,67.0,04:55.07,35,22.0,16:36.85,4,85.0,02:37.45,12,63.0,12 pt,7,73.0,05:19.73,12,63.0,07:14.0,29,29.0,CAP+5,4,85.0,05:20.3,,,,,,,16 (614),2014
16,Cole Sager,http://games.crossfit.com/athlete/153625,1,12,63.0,35:35.38,16,55.0,335 lb,28,31.0,36:23.35,27,20.0,01:06.44,10,37.0,01:35.21,35,22.0,06:00.07,27,33.0,15:28.30,8,71.0,02:44.24,16,55.0,16 pt,15,57.0,05:38.82,28,31.0,08:27.8,7,73.0,02:39.8,12,63.0,06:11.4,,,,,,,17 (611),2014
17,Jacob Heppner,http://games.crossfit.com/athlete/199938,1,16,55.0,36:23.28,37,20.0,300 lb,4,85.0,34:04.93,6,41.0,00:48.72,4,44.0,01:22.73,25,37.0,05:25.64,6,75.0,12:11.17,25,37.0,02:53.39,36,21.0,36 pt,18,51.0,05:49.73,10,67.0,07:03.9,29,29.0,CAP+5,22,43.0,06:50.3,,,,,,,18 (605),2014
18,Kenneth Leverich,http://games.crossfit.com/athlete/21343,1,14,59.0,35:46.12,16,55.0,335 lb,22,43.0,35:48.00,13,34.0,00:53.87,29,18.0,02:12.53,7,73.0,04:46.93,9,69.0,12:26.47,24,39.0,02:52.85,34,23.0,34 pt,19,49.0,05:54.87,24,39.0,07:57.7,19,49.0,CAP+2,19,49.0,06:37.9,,,,,,,19 (599),2014
19,Jordan Troyan,http://games.crossfit.com/athlete/4895,1,1,100.0,29:34.44,43,14.0,0 lb,2,95.0,33:20.96,25,22.0,01:04.47,17,30.0,01:44.92,30,27.0,05:36.95,12,63.0,12:59.35,12,63.0,02:46.11,37,20.0,37 pt,13,61.0,05:35.05,38,19.0,CAP+1,17,53.0,CAP+1,28,31.0,CAP+8,,,,,,,20 (598),2014
